CustomerID,Gender,Age,Tenure_Months,Contract_Type,Payment_Method,Monthly_Charges_INR,Total_Charges_INR,Tech_Support,Paperless_Billing,Churn
CUST-1045,Female,45,27,One year,Credit Card,515.88,13917.51,Yes,No,0
CUST-1046,Female,34,38,Month-to-month,Credit Card,2123.49,80728.97,No,Yes,1
CUST-1047,Male,22,60,One year,Bank Transfer,1853.69,111202.28,No,Yes,0
CUST-1048,Female,48,7,Month-to-month,Bank Transfer,1656.88,11577.51,No,Yes,1
CUST-1049,Female,22,5,Two year,Mailed Check,642.16,3187.4,No,Yes,0
CUST-1050,Male,55,45,Month-to-month,UPI / Electronic,1351.69,60809.33,Yes,No,0
CUST-1051,Female,20,58,Month-to-month,UPI / Electronic,2016.22,116946.5,No,No,1
CUST-1052,Male,40,31,One year,Mailed Check,966.97,29996.77,No,Yes,1
CUST-1053,Female,54,23,Month-to-month,Credit Card,984.72,22664.82,Yes,No,1
CUST-1054,Male,54,42,Month-to-month,Bank Transfer,305.91,12878.99,No,No,1
CUST-1055,Female,27,10,Two year,Bank Transfer,682.34,6861.99,Yes,No,1
CUST-1056,Female,27,32,Month-to-month,Bank Transfer,2224.89,71228.09,Yes,Yes,1
CUST-1057,Male,36,53,One year,Credit Card,1270.84,67306.41,Yes,No,0
CUST-1058,Male,34,30,Month-to-month,Bank Transfer,2464.32,73953.19,No,Yes,1
CUST-1059,Male,38,39,One year,Bank Transfer,1169.56,45583.68,No,Yes,1
CUST-1060,Male,31,31,Month-to-month,Mailed Check,1872.41,58008.0,No,Yes,1
CUST-1061,Male,26,2,Month-to-month,Credit Card,919.22,1852.29,No,Yes,0
CUST-1062,Male,63,12,Two year,UPI / Electronic,1099.38,13174.53,No,No,0
CUST-1063,Male,18,39,One year,Mailed Check,718.6,27981.11,Yes,Yes,0
CUST-1064,Male,68,66,Month-to-month,Mailed Check,1062.54,70091.4,Yes,Yes,0
CUST-1065,Female,62,13,Month-to-month,UPI / Electronic,1502.92,19488.05,No,Yes,1
CUST-1066,Female,30,46,Two year,Mailed Check,2480.9,114161.72,Yes,No,0
CUST-1067,Male,21,27,Month-to-month,Credit Card,1760.24,47478.94,No,Yes,1
CUST-1068,Female,18,17,One year,Bank Transfer,737.34,12505.73,No,No,0
CUST-1069,Female,66,60,One year,Credit Card,397.92,23866.83,No,Yes,0
CUST-1070,Female,57,64,Month-to-month,UPI / Electronic,576.98,36912.38,No,Yes,1
CUST-1071,Female,49,35,Month-to-month,UPI / Electronic,1536.62,53822.87,Yes,Yes,1
CUST-1072,Male,51,70,One year,Mailed Check,1982.35,138718.53,Yes,Yes,0
CUST-1073,Female,45,30,Month-to-month,Credit Card,2367.92,71038.82,No,Yes,1
CUST-1074,Male,48,71,Month-to-month,Credit Card,333.81,23718.56,No,Yes,0
CUST-1075,Female,25,63,Two year,UPI / Electronic,1449.07,91334.58,No,No,0
CUST-1076,Female,56,28,One year,Credit Card,1334.91,37389.52,Yes,No,0
CUST-1077,Female,43,60,One year,UPI / Electronic,1742.32,104569.58,No,Yes,0
CUST-1078,Male,51,37,One year,Credit Card,1530.07,56570.96,No,Yes,0
CUST-1079,Female,20,22,One year,Credit Card,1810.49,39819.37,No,No,1
CUST-1080,Male,67,68,Month-to-month,Credit Card,1746.78,118768.43,Yes,Yes,1
CUST-1081,Female,29,20,Month-to-month,UPI / Electronic,556.43,11167.23,No,Yes,0
CUST-1082,Male,18,68,Month-to-month,Mailed Check,2058.38,139934.98,No,No,1
CUST-1083,Female,61,64,Month-to-month,Credit Card,570.11,36452.23,Yes,No,0
CUST-1084,Male,22,17,One year,UPI / Electronic,1835.77,31190.95,No,Yes,0
CUST-1085,Male,47,12,Month-to-month,UPI / Electronic,1214.52,14529.69,No,Yes,1
CUST-1086,Female,47,22,Month-to-month,Credit Card,1429.47,31416.59,No,Yes,1
CUST-1087,Male,34,17,Month-to-month,Credit Card,2286.26,38912.94,No,No,1
CUST-1088,Female,65,10,Month-to-month,Mailed Check,2256.74,22560.22,Yes,Yes,1
CUST-1089,Female,64,65,Month-to-month,UPI / Electronic,2098.28,136401.4,No,Yes,0
CUST-1090,Female,40,22,Month-to-month,UPI / Electronic,1421.33,31291.87,No,Yes,0
CUST-1091,Female,32,50,Month-to-month,Bank Transfer,1918.73,95923.2,No,Yes,1
CUST-1092,Female,54,14,Month-to-month,UPI / Electronic,1427.37,19947.9,No,No,0
CUST-1093,Female,38,64,Month-to-month,Mailed Check,2212.13,141546.98,No,No,1
CUST-1094,Female,31,47,One year,Bank Transfer,1185.11,55681.5,Yes,No,1
CUST-1095,Female,19,29,Month-to-month,Bank Transfer,2433.52,70585.69,No,Yes,1
CUST-1096,Female,28,36,Month-to-month,Bank Transfer,2350.11,84593.79,No,Yes,1
CUST-1097,Female,68,52,One year,Credit Card,1930.53,100338.24,Yes,Yes,0
CUST-1098,Female,56,7,Month-to-month,Credit Card,913.71,6398.31,No,Yes,0
CUST-1099,Male,55,29,Two year,UPI / Electronic,588.64,17112.71,No,No,0
CUST-1100,Male,51,11,Month-to-month,Bank Transfer,2179.35,24004.06,No,Yes,1
CUST-1101,Female,55,33,Month-to-month,Mailed Check,662.67,21900.63,Yes,Yes,0
CUST-1102,Female,67,6,One year,Credit Card,2178.37,13099.73,No,Yes,1
CUST-1103,Female,51,32,Month-to-month,Mailed Check,1378.68,44100.13,Yes,No,1
CUST-1104,Female,35,51,One year,Mailed Check,1193.42,60890.94,No,Yes,0
CUST-1105,Female,47,58,Month-to-month,Credit Card,2286.02,132553.48,No,Yes,1
CUST-1106,Female,32,26,Two year,Credit Card,1627.47,42329.99,No,Yes,0
CUST-1107,Female,44,46,Month-to-month,Credit Card,1567.55,72121.46,No,No,1
CUST-1108,Female,68,29,Month-to-month,Credit Card,1528.29,44272.97,No,Yes,1
CUST-1109,Male,51,4,One year,Bank Transfer,1115.57,4491.08,No,No,0
CUST-1110,Female,69,13,Month-to-month,Bank Transfer,2027.41,26396.65,No,No,1
CUST-1111,Male,55,39,Month-to-month,Bank Transfer,855.16,33327.98,No,Yes,0
CUST-1112,Female,50,15,One year,Bank Transfer,2364.57,35499.79,No,No,0
CUST-1113,Female,41,29,Two year,UPI / Electronic,2265.77,65665.57,No,Yes,0
CUST-1114,Male,32,29,Month-to-month,Bank Transfer,1041.46,30212.34,No,No,0
CUST-1115,Female,47,32,One year,Credit Card,1903.82,60920.8,No,Yes,0
CUST-1116,Male,59,2,Two year,Mailed Check,1560.09,3124.77,No,Yes,0
CUST-1117,Female,68,47,Two year,Bank Transfer,1041.83,,Yes,Yes,0
CUST-1118,Female,34,22,Month-to-month,UPI / Electronic,2473.75,54459.63,Yes,Yes,1
CUST-1119,Male,22,27,One year,Credit Card,354.52,9600.55,No,No,0
CUST-1120,Female,46,67,Month-to-month,Mailed Check,854.82,57250.31,No,Yes,1
CUST-1121,Male,21,56,Two year,Mailed Check,1443.16,80858.14,No,No,0
CUST-1122,Female,27,21,Month-to-month,Bank Transfer,1447.3,30353.05,No,Yes,1
CUST-1123,Male,34,47,Month-to-month,Mailed Check,1594.65,74983.88,Yes,No,1
CUST-1124,Male,27,59,One year,Bank Transfer,1952.69,115191.53,No,Yes,0
CUST-1125,Female,34,6,Month-to-month,Bank Transfer,1670.65,9979.28,No,Yes,1
CUST-1126,Female,37,19,Two year,Credit Card,1619.62,30789.72,No,Yes,0
CUST-1127,Male,41,57,Two year,Credit Card,416.73,23726.74,No,No,0
CUST-1128,Female,22,69,One year,UPI / Electronic,1127.37,77762.89,Yes,Yes,0
CUST-1129,Female,51,3,Month-to-month,Credit Card,809.52,2409.16,Yes,Yes,0
CUST-1130,Female,23,1,One year,Credit Card,882.81,839.18,No,Yes,0
CUST-1131,Male,19,58,Month-to-month,Bank Transfer,1518.54,88043.03,No,No,0
CUST-1132,Male,30,38,Month-to-month,Credit Card,737.91,27991.09,No,Yes,1
CUST-1133,Male,60,15,Two year,Bank Transfer,945.69,14179.89,Yes,Yes,0
CUST-1134,Male,60,34,Month-to-month,Bank Transfer,820.59,27858.49,Yes,Yes,1
CUST-1135,Male,65,61,Month-to-month,Credit Card,2385.71,145546.58,No,No,1
CUST-1136,Male,28,35,Two year,UPI / Electronic,2377.26,83177.66,No,No,0
CUST-1137,Male,68,64,Month-to-month,UPI / Electronic,1640.87,105060.04,No,Yes,1
CUST-1138,Male,64,25,Month-to-month,Mailed Check,2332.95,58360.88,Yes,Yes,0
CUST-1139,Male,40,24,Two year,Mailed Check,2027.79,48645.9,No,Yes,0
CUST-1140,Female,33,12,Month-to-month,Credit Card,1596.89,19191.0,Yes,Yes,0
CUST-1141,Male,48,18,One year,UPI / Electronic,313.16,5667.2,Yes,Yes,0
CUST-1142,Female,28,15,Two year,Bank Transfer,1998.54,30026.76,No,No,0
CUST-1143,Female,33,27,Two year,Mailed Check,1844.47,49810.47,Yes,Yes,0
CUST-1144,Female,25,60,One year,Bank Transfer,1652.56,99111.8,Yes,No,1
CUST-1145,Male,21,46,Month-to-month,Mailed Check,1971.93,90723.46,No,Yes,1
CUST-1146,Male,57,17,Month-to-month,Credit Card,1427.43,24278.81,No,No,0
CUST-1147,Male,21,53,Two year,UPI / Electronic,1847.98,97956.78,No,Yes,0
CUST-1148,Male,42,8,Two year,Mailed Check,2356.38,18831.75,No,Yes,1
CUST-1149,Female,20,27,Month-to-month,UPI / Electronic,1125.77,30431.76,Yes,Yes,1
CUST-1150,Male,49,46,Month-to-month,Bank Transfer,1856.87,85461.97,Yes,Yes,0
CUST-1151,Male,20,50,Month-to-month,Credit Card,1345.51,67247.27,No,Yes,0
CUST-1152,Male,44,71,Month-to-month,UPI / Electronic,1782.68,126529.1,No,No,1
CUST-1153,Male,46,3,One year,Credit Card,1977.37,5901.56,No,No,0
CUST-1154,Male,49,64,Month-to-month,UPI / Electronic,399.0,25568.06,Yes,Yes,1
CUST-1155,Female,67,44,Two year,Bank Transfer,1721.52,75764.54,No,Yes,0
CUST-1156,Male,68,53,One year,Bank Transfer,797.83,42298.59,Yes,Yes,0
CUST-1157,Female,36,24,Month-to-month,Credit Card,1773.07,42543.86,No,Yes,1
CUST-1158,Male,38,60,One year,Bank Transfer,1329.33,79767.58,No,Yes,0
CUST-1159,Female,22,3,Month-to-month,Mailed Check,2000.82,5983.25,No,No,1
CUST-1160,Male,35,20,One year,UPI / Electronic,570.48,11407.32,No,No,0
CUST-1161,Male,45,46,One year,Bank Transfer,1676.91,77167.17,No,No,0
CUST-1162,Female,59,15,Two year,Mailed Check,911.64,13722.72,No,Yes,0
CUST-1163,Female,39,25,Two year,Credit Card,2175.56,54432.25,No,No,0
CUST-1164,Female,38,71,Month-to-month,Mailed Check,2341.44,166285.63,Yes,No,0
CUST-1165,Male,23,17,Month-to-month,Credit Card,2491.08,42338.58,No,Yes,1
CUST-1166,Female,18,9,One year,Credit Card,2050.22,18448.86,Yes,Yes,0
CUST-1167,Male,22,38,Month-to-month,UPI / Electronic,1957.21,74394.54,No,No,1
CUST-1168,Male,58,48,Month-to-month,UPI / Electronic,773.1,37151.02,No,Yes,1
CUST-1169,Female,29,60,Month-to-month,Mailed Check,1038.22,62257.4,No,Yes,1
CUST-1170,Female,43,63,One year,UPI / Electronic,1323.5,83360.92,No,Yes,0
CUST-1171,Male,63,2,Month-to-month,UPI / Electronic,2000.44,3964.8,Yes,Yes,1
CUST-1172,Male,51,11,One year,UPI / Electronic,2311.92,25442.32,No,Yes,0
CUST-1173,Female,66,64,Two year,Mailed Check,715.11,45747.67,No,No,0
CUST-1174,Female,31,21,Month-to-month,Bank Transfer,2328.21,48875.02,No,No,1
CUST-1175,Female,43,18,Month-to-month,UPI / Electronic,1829.37,32885.75,Yes,No,1
CUST-1176,Male,62,64,Month-to-month,UPI / Electronic,1642.7,105117.78,No,Yes,1
CUST-1177,Male,44,38,Two year,Mailed Check,738.65,28104.95,No,No,0
CUST-1178,Male,26,32,Month-to-month,Bank Transfer,421.16,13450.43,Yes,Yes,0
CUST-1179,Male,43,11,Month-to-month,UPI / Electronic,1549.62,17065.34,Yes,Yes,1
CUST-1180,Male,64,45,Month-to-month,Credit Card,1732.33,77967.81,No,Yes,1
CUST-1181,Male,39,33,One year,Mailed Check,762.72,25206.11,No,Yes,0
CUST-1182,Female,64,41,Month-to-month,UPI / Electronic,1523.2,62414.43,No,Yes,1
CUST-1183,Male,47,8,One year,UPI / Electronic,2183.29,17514.08,No,Yes,1
CUST-1184,Male,60,11,Two year,Credit Card,2136.15,23505.91,No,Yes,0
CUST-1185,Male,65,51,Month-to-month,Credit Card,2339.18,119347.73,No,Yes,1
CUST-1186,Female,34,41,Two year,Mailed Check,1103.95,45303.1,Yes,No,0
CUST-1187,Male,43,17,Month-to-month,Mailed Check,998.71,16950.22,Yes,Yes,1
CUST-1188,Male,53,46,Two year,Credit Card,1947.74,89551.66,No,No,0
CUST-1189,Female,18,32,One year,Mailed Check,1247.45,39893.96,No,Yes,0
CUST-1190,Male,25,54,Two year,Credit Card,491.61,26549.7,No,Yes,1
CUST-1191,Male,66,20,Month-to-month,UPI / Electronic,921.16,18390.36,No,No,0
CUST-1192,Male,52,33,Month-to-month,Credit Card,1219.88,40222.79,Yes,Yes,0
CUST-1193,Male,69,40,Month-to-month,Credit Card,942.54,37697.86,No,Yes,0
CUST-1194,Male,32,32,Month-to-month,Bank Transfer,1029.85,32908.53,Yes,No,0
CUST-1195,Female,64,2,Month-to-month,Credit Card,945.31,1852.81,No,Yes,1
CUST-1196,Female,39,33,Month-to-month,Credit Card,390.3,12871.49,No,No,1
CUST-1197,Female,31,30,Month-to-month,Bank Transfer,1700.61,50974.61,No,Yes,0
CUST-1198,Male,43,33,Month-to-month,Mailed Check,1613.04,53220.0,No,Yes,0
CUST-1199,Male,45,26,Two year,Bank Transfer,1736.44,45144.84,Yes,Yes,0
CUST-1200,Male,40,22,Month-to-month,UPI / Electronic,722.08,,No,Yes,1
CUST-1201,Female,31,66,Month-to-month,Bank Transfer,949.44,62699.96,Yes,No,0
CUST-1202,Male,41,38,Month-to-month,UPI / Electronic,1662.16,63165.09,No,No,0
CUST-1203,Male,19,46,Month-to-month,Mailed Check,1618.18,74433.08,No,Yes,0
CUST-1204,Female,62,15,Two year,Bank Transfer,1412.93,21185.02,No,Yes,0
CUST-1205,Male,43,44,Month-to-month,Bank Transfer,1069.91,47107.8,No,No,1
CUST-1206,Female,31,49,One year,Mailed Check,2307.45,113104.56,Yes,Yes,0
CUST-1207,Female,68,61,Two year,UPI / Electronic,1046.49,63871.21,No,Yes,0
CUST-1208,Female,24,67,Two year,Bank Transfer,1301.36,87208.47,Yes,Yes,0
CUST-1209,Male,20,6,One year,UPI / Electronic,1790.85,10708.84,No,Yes,1
CUST-1210,Male,64,9,Two year,Bank Transfer,1493.65,13420.54,Yes,No,0
CUST-1211,Male,40,6,Two year,Credit Card,1062.15,6327.51,Yes,No,0
CUST-1212,Male,63,32,One year,Bank Transfer,1257.42,40280.52,No,Yes,0
CUST-1213,Male,60,41,One year,Mailed Check,2046.86,83937.34,No,Yes,0
CUST-1214,Male,64,8,One year,Mailed Check,910.88,7311.68,Yes,Yes,0
CUST-1215,Male,62,50,Month-to-month,UPI / Electronic,611.96,30579.16,No,Yes,1
CUST-1216,Female,35,62,One year,Bank Transfer,987.96,61288.09,No,Yes,0
CUST-1217,Male,55,62,Month-to-month,UPI / Electronic,2167.98,134390.72,No,No,1
CUST-1218,Female,52,7,Month-to-month,UPI / Electronic,494.78,3413.62,Yes,Yes,1
CUST-1219,Male,68,4,Month-to-month,Credit Card,2480.73,9910.56,No,Yes,1
CUST-1220,Male,32,6,Month-to-month,Credit Card,1489.21,8942.34,No,Yes,0
CUST-1221,Male,42,58,Month-to-month,Mailed Check,2465.66,143006.15,No,Yes,1
CUST-1222,Female,54,22,Month-to-month,UPI / Electronic,2364.79,52061.59,No,Yes,0
CUST-1223,Female,45,26,One year,Mailed Check,1295.19,33635.48,No,No,0
CUST-1224,Female,27,3,Month-to-month,Bank Transfer,735.68,2212.42,No,Yes,1
CUST-1225,Female,56,41,Two year,UPI / Electronic,661.75,27133.05,No,No,0
CUST-1226,Male,34,60,Month-to-month,UPI / Electronic,826.98,49596.94,Yes,Yes,0
CUST-1227,Female,56,14,Month-to-month,Bank Transfer,1861.29,,Yes,Yes,1
CUST-1228,Male,39,12,One year,Bank Transfer,899.49,10819.16,No,Yes,0
CUST-1229,Male,43,12,One year,Mailed Check,1050.14,12624.97,Yes,Yes,0
CUST-1230,Female,61,13,Month-to-month,Mailed Check,1286.31,16759.65,No,Yes,0
CUST-1231,Female,42,25,Two year,Bank Transfer,2308.11,57725.03,No,Yes,1
CUST-1232,Female,34,45,Two year,Mailed Check,715.67,32178.33,Yes,No,0
CUST-1233,Female,30,19,Month-to-month,Bank Transfer,310.06,5911.7,No,No,0
CUST-1234,Female,37,55,Month-to-month,UPI / Electronic,431.21,23697.32,No,Yes,0
CUST-1235,Female,42,45,Two year,UPI / Electronic,2289.49,103001.27,No,Yes,0
CUST-1236,Female,21,8,One year,Credit Card,1723.54,13745.62,No,Yes,1
CUST-1237,Female,27,53,Month-to-month,UPI / Electronic,899.69,47707.97,No,Yes,1
CUST-1238,Male,20,55,Two year,Bank Transfer,688.82,37906.2,No,Yes,1
CUST-1239,Female,58,32,Month-to-month,Mailed Check,946.39,30257.93,No,No,0
CUST-1240,Female,62,51,Month-to-month,Credit Card,551.55,28153.99,No,Yes,0
CUST-1241,Male,35,44,Month-to-month,Mailed Check,2370.37,104338.06,Yes,Yes,1
CUST-1242,Female,64,70,One year,Bank Transfer,2024.25,141658.3,Yes,Yes,0
CUST-1243,Male,53,18,One year,UPI / Electronic,1316.26,23665.94,No,Yes,0
CUST-1244,Male,64,22,One year,Credit Card,2201.92,48467.27,Yes,No,0
CUST-1245,Female,39,37,Month-to-month,Bank Transfer,847.81,31346.42,Yes,Yes,0
CUST-1246,Male,51,56,Month-to-month,Credit Card,1876.67,105105.99,No,Yes,1
CUST-1247,Male,64,59,Month-to-month,Credit Card,2182.49,128725.03,Yes,No,1
CUST-1248,Male,25,3,One year,UPI / Electronic,1083.89,3246.89,No,Yes,0
CUST-1249,Male,57,28,Month-to-month,Bank Transfer,1965.42,55055.67,No,No,1
CUST-1250,Female,66,35,Month-to-month,Mailed Check,948.16,33204.25,No,Yes,1
CUST-1251,Male,61,61,Two year,Credit Card,956.49,58377.4,No,Yes,0
CUST-1252,Female,36,54,Month-to-month,Credit Card,534.53,28902.37,Yes,No,0
CUST-1253,Male,59,63,Two year,Mailed Check,1267.13,79856.51,No,Yes,0
CUST-1254,Male,58,7,Month-to-month,Bank Transfer,1904.37,13347.75,No,Yes,1
CUST-1255,Male,54,49,One year,Credit Card,2367.49,115960.18,No,Yes,0
CUST-1256,Male,23,31,Month-to-month,Credit Card,1627.35,50451.35,No,Yes,1
CUST-1257,Female,69,58,Two year,Credit Card,2197.9,127431.97,Yes,No,0
CUST-1258,Female,43,61,Month-to-month,Bank Transfer,2108.49,128648.7,No,No,0
CUST-1259,Male,51,24,Month-to-month,Bank Transfer,680.35,16310.47,Yes,No,0
CUST-1260,Male,62,20,Month-to-month,Mailed Check,1367.8,27362.24,No,No,1
CUST-1261,Female,23,37,Month-to-month,Bank Transfer,556.23,20558.45,No,Yes,0
CUST-1262,Male,54,4,Month-to-month,Bank Transfer,1799.74,7227.21,Yes,Yes,0
CUST-1263,Male,50,20,Two year,UPI / Electronic,2388.78,47814.25,Yes,Yes,0
CUST-1264,Male,39,60,Month-to-month,Mailed Check,600.6,36025.86,Yes,Yes,1
CUST-1265,Female,38,24,One year,Credit Card,1913.54,45961.25,No,Yes,1
CUST-1266,Female,23,50,One year,Bank Transfer,1689.92,84472.71,No,No,0
CUST-1267,Female,23,49,One year,Credit Card,1582.93,77567.04,Yes,Yes,1
CUST-1268,Male,65,51,Month-to-month,Credit Card,1157.26,59056.14,No,Yes,1
CUST-1269,Male,21,36,Month-to-month,UPI / Electronic,1080.29,38873.03,Yes,Yes,0
CUST-1270,Female,47,66,One year,Bank Transfer,398.55,26349.7,No,No,0
CUST-1271,Female,28,34,Two year,Mailed Check,778.4,26427.79,Yes,No,0
CUST-1272,Female,47,36,Month-to-month,Bank Transfer,332.39,11917.87,No,No,0
CUST-1273,Female,48,6,Month-to-month,Credit Card,1578.12,9509.13,No,Yes,1
CUST-1274,Male,41,39,Month-to-month,Mailed Check,531.88,20700.18,No,No,0
CUST-1275,Female,26,42,Two year,Bank Transfer,2219.64,93274.07,No,Yes,0
CUST-1276,Male,20,58,Month-to-month,Credit Card,1449.91,84139.92,No,No,0
CUST-1277,Female,68,12,Month-to-month,Credit Card,1838.32,22023.54,No,Yes,1
CUST-1278,Male,48,3,Two year,UPI / Electronic,1202.89,3612.43,No,Yes,1
CUST-1279,Female,57,18,Month-to-month,UPI / Electronic,1532.28,27549.53,No,Yes,0
CUST-1280,Female,54,40,Month-to-month,UPI / Electronic,2372.85,94906.82,No,No,1
CUST-1281,Female,53,21,One year,Credit Card,481.01,10057.35,Yes,Yes,0
CUST-1282,Female,41,15,Two year,Bank Transfer,857.66,12837.29,No,No,0
CUST-1283,Male,48,26,Month-to-month,UPI / Electronic,2014.97,52375.55,Yes,Yes,0
CUST-1284,Female,23,8,Month-to-month,Bank Transfer,516.22,4123.62,No,Yes,1
CUST-1285,Male,19,42,Month-to-month,UPI / Electronic,465.45,19596.65,No,Yes,0
CUST-1286,Male,37,44,Month-to-month,Mailed Check,1094.39,,No,Yes,1
CUST-1287,Male,45,14,One year,Mailed Check,501.77,7048.52,Yes,Yes,0
CUST-1288,Male,28,2,Month-to-month,UPI / Electronic,1586.17,3176.04,Yes,Yes,1
CUST-1289,Female,21,37,Month-to-month,Credit Card,796.81,29515.97,No,No,1
CUST-1290,Male,32,69,Month-to-month,UPI / Electronic,2269.54,156582.19,No,Yes,1
CUST-1291,Male,23,38,One year,UPI / Electronic,2022.7,76883.49,No,No,0
CUST-1292,Male,66,41,Month-to-month,Credit Card,1838.35,75421.73,No,Yes,1
CUST-1293,Female,47,62,Two year,Mailed Check,1656.28,102670.82,No,No,0
CUST-1294,Female,55,60,Month-to-month,Bank Transfer,2198.62,131934.6,No,Yes,0
CUST-1295,Female,68,14,Two year,UPI / Electronic,789.74,11090.79,Yes,Yes,0
CUST-1296,Female,19,2,Two year,Credit Card,2219.84,4481.26,No,Yes,0
CUST-1297,Male,32,70,Month-to-month,UPI / Electronic,2035.88,142533.39,Yes,Yes,0
CUST-1298,Male,28,17,Month-to-month,Credit Card,1944.95,33042.51,No,No,1
CUST-1299,Female,25,28,Month-to-month,Bank Transfer,1533.76,42927.91,Yes,Yes,0
CUST-1300,Male,43,66,Month-to-month,Bank Transfer,840.74,55440.92,No,Yes,1
CUST-1301,Male,68,35,Month-to-month,Mailed Check,1230.81,43104.44,Yes,No,0
CUST-1302,Male,62,5,Month-to-month,Credit Card,2044.86,10178.57,Yes,Yes,1
CUST-1303,Female,61,65,Month-to-month,Credit Card,368.91,24015.62,No,No,0
CUST-1304,Female,22,40,Two year,Mailed Check,2019.51,80742.27,Yes,Yes,0
CUST-1305,Male,23,56,Month-to-month,Mailed Check,827.16,46288.15,Yes,No,0
CUST-1306,Female,43,36,Two year,Credit Card,616.48,22190.93,No,Yes,0
CUST-1307,Female,21,45,Month-to-month,Mailed Check,553.54,24933.09,Yes,Yes,1
CUST-1308,Female,36,23,Two year,Bank Transfer,358.95,8219.75,Yes,Yes,0
CUST-1309,Female,37,47,One year,UPI / Electronic,1450.89,68185.84,No,No,0
CUST-1310,Female,50,31,Month-to-month,Bank Transfer,779.17,24152.56,No,Yes,0
